Kategori,Marka,Model,Fiyat,Yorum_Sayisi,Link
Laptop,HP,"HP Victus Gaming 15-FB3702NT B9KM3EA R7-8645HS 16 GB 1 TB SSD DDR5-5600 RTX4050 6 GB 15.6"" Free Dos Dizüstü Bilgisayar",37177,0,https://www.n11.com/urun/hp-victus-gaming-15-fb3702nt-b9km3ea-r7-8645hs-16-gb-1-tb-ssdddr5-5600rtx4050-6-gb-156-free-dos-dizustu-bilgisayar-90187785
Laptop,HP,"HP 250 G10 I5-1334U 16 GB 512 GB SSD 15.6"" Freedos B2NC4ES01",21826.05,6,https://www.n11.com/urun/hp-250-g10-i5-1334u-16-gb-512-gb-ssd-156-freedos-b2nc4es01-77051976
Laptop,Asus,"Asus Expertbook P5 P5405CSA-I7321TBS0D Ultra 7 258V 32 GB 1 TB SSD 14"" Dos FHD Dizüstü Bilgisayar",51499.78,2,https://www.n11.com/urun/asus-expertbook-p5-p5405csa-i7321tbs0d-ultra-7-258v-32-gb-1-tb-ssd-14-dos-fhd-dizustu-bilgisayar-67281704
Laptop,Acer,"Acer AL15-71P-735B NX.J7LEY.001 i7-12650H 16 GB 1 TB SSD 15.6"" W11H Dizüstü Bilgisayar",29549,1,https://www.n11.com/urun/acer-al15-71p-735b-nxj7ley001-i7-12650h-16-gb-1-tb-ssd-156-w11h-dizustu-bilgisayar-101746455
Laptop,HP,"HP Victus 15 15-FA2704NT B7TG9EA i5-13420H 16 GB 512 GB SSD RTX3050 15.6"" Dos Dizüstü Bilgisayar",32299.05,7,https://www.n11.com/urun/hp-victus-15-15-fa2704nt-b7tg9ea-i5-13420h-16-gb-512-gb-ssd-rtx3050-156-dos-dizustu-bilgisayar-82751278
Laptop,Asus,"Asus Expertbook P1 P1403CVA-I58512G1D i5-13420H 8 GB 512 GB SSD 14"" Free Dos Dizüstü Bilgisayar",23989.21,0,https://www.n11.com/urun/asus-expertbook-p1-p1403cva-i58512g1d-i5-13420h-8-gb-512-gb-ssd-14-free-dos-dizustu-bilgisayar-104420728
Laptop,Lenovo,"Lenovo IdeaPad Slim 3 14IRH10 83K0002ATR i7-13620H 16 GB 512 GB SSD 14"" Free Dos Dizüstü Bilgisayar",42950.77,5,https://www.n11.com/urun/lenovo-ideapad-slim-3-14irh10-83k0002atr-i7-13620h-16-gb-512-gb-ssd-14-free-dos-dizustu-bilgisayar-73603078
Laptop,Apple,"Apple MacBook Air MC6T4TU/A 16 GB 256 GB SSD 13.6"" macOS Dizüstü Bilgisayar",46079.04,11,https://www.n11.com/urun/apple-macbook-air-mc6t4tua-16-gb-256-gb-ssd-136-macos-dizustu-bilgisayar-74956976
Laptop,Asus,"Asus Rog Strıx G16 G614PR-RV050 Amd R9-8940HX 32GB 1tb 12GB RTX5070TI 16"" Fhd+ 165HZ WUXGA Freedos Dizüstü Bilgisayar",93777.98,1,https://www.n11.com/urun/asus-rog-strix-g16-g614pr-rv050-amd-r9-8940hx-32gb-1tb-12gb-rtx5070ti-16-fhd-165hz-wuxga-freedos-dizustu-bilgisayar-78073387
Laptop,Lenovo,"Lenovo Ideapad 5 2-in-1 14IRH9 83KX005CTR i5-13420H 8 GB 512 GB SSD 14"" W11H Dizüstü Bilgisayar",30999,0,https://www.n11.com/urun/lenovo-ideapad-5-2-in-1-14irh9-83kx005ctr-i5-13420h-8-gb-512-gb-ssd-14-w11h-dizustu-bilgisayar-100460814
