Kategori,Marka,Model,Fiyat,Yorum_Sayisi,Link,Resim
Laptop,Apple,"Apple MacBook Air MW0W3TU/A M4 16 GB 256 GB SSD 13.6"" macOS Dizüstü Bilgisayar",43812.0,6,https://www.n11.com/urun/apple-macbook-air-mw0w3tua-m4-16-gb-256-gb-ssd-136-macos-dizustu-bilgisayar-75065214,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Asus,"Asus ZenBook 14 UX3405CA-PP485W Ultra 9 285H 32 GB 1 TB SSD 14"" W11H WQXGA OLED Dizüstü Bilgisayar",69509.0,1,https://www.n11.com/urun/asus-zenbook-14-ux3405ca-pp485w-ultra-9-285h-32-gb-1-tb-ssd-14-w11h-wqxga-oled-dizustu-bilgisayar-80374268,https://via.placeholder.com/500?text=Resim+Yok
Laptop,MSI,"MSI Katana 17 HX B14WGK-048XTR i9-14900HX 32 GB 1 TB SSD RTX5070 17.3"" Free Dos Dizüstü Bilgisayar",99119.06,1,https://www.n11.com/urun/msi-katana-17-hx-b14wgk-048xtr-i9-14900hx-32-gb-1-tb-ssd-rtx5070-173-free-dos-dizustu-bilgisayar-83606907,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Lenovo,"Lenovo V15 G4 83A100QMTR i7-13620H 16 GB 512 GB SSD 15.6"" Free Dos Dizüstü Bilgisayar",29736.53,0,https://www.n11.com/urun/lenovo-v15-g4-83a100qmtr-i7-13620h-16-gb-512-gb-ssd-156-free-dos-dizustu-bilgisayar-107202687,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Asus,"Asus Expertbook P1 P1403CVA-I58512G1D i5-13420H 8 GB 512 GB SSD 14"" Free Dos Dizüstü Bilgisayar",24999.3,0,https://www.n11.com/urun/asus-expertbook-p1-p1403cva-i58512g1d-i5-13420h-8-gb-512-gb-ssd-14-free-dos-dizustu-bilgisayar-104420728,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Lenovo,"Lenovo LOQ 15IAX9 83GS00P6TR i5-12600HX 24 GB 512 GB SSD RTX4050 15.6"" Free Dos FHD Dizüstü Bilgisayar",39804.05,6,https://www.n11.com/urun/lenovo-loq-15iax9-83gs00p6tr-i5-12600hx-24-gb-512-gb-ssd-rtx4050-156-free-dos-fhd-dizustu-bilgisayar-76065614,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Asus,"Asus Expertbook P5 P5405CSA-I7321TBS0D Ultra 7 258V 32 GB 1 TB SSD 14"" Dos FHD Dizüstü Bilgisayar",51499.78,2,https://www.n11.com/urun/asus-expertbook-p5-p5405csa-i7321tbs0d-ultra-7-258v-32-gb-1-tb-ssd-14-dos-fhd-dizustu-bilgisayar-67281704,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Lenovo,"Lenovo LOQ 15IRX10 83JE00EWTR i7-13650HX 24 GB 1 TB SSD 8 GB RTX5070 15.6"" Free Dos Dizüstü Bilgisayar",65999.0,0,https://www.n11.com/urun/lenovo-loq-15irx10-83je00ewtr-i7-13650hx-24-gb-1-tb-ssd-8-gb-rtx5070-156-free-dos-dizustu-bilgisayar-107943492,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Acer,"Acer Aspire Go 15 AG15-51P-51XY NX.J51EY.002 i5-1334U 16 GB 512 GB SSD 15.3"" Free Dos Dizüstü Bilgisayar",19599.0,1,https://www.n11.com/urun/acer-aspire-go-15-ag15-51p-51xy-nxj51ey002-i5-1334u-16-gb-512-gb-ssd-153-free-dos-dizustu-bilgisayar-110562063,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Apple,"Apple Macbook Air MC6A4TU/A M4 24 GB 512 GB SSD 13.6"" macOS Dizüstü Bilgisayar",66243.06,0,https://www.n11.com/urun/apple-macbook-air-mc6a4tua-m4-24-gb-512-gb-ssd-136-macos-dizustu-bilgisayar-96900139,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Acer,"Acer AL15-71P-735B NX.J7LEY.001 i7-12650H 16 GB 1 TB SSD 15.6"" W11H Dizüstü Bilgisayar",31249.0,1,https://www.n11.com/urun/acer-al15-71p-735b-nxj7ley001-i7-12650h-16-gb-1-tb-ssd-156-w11h-dizustu-bilgisayar-101746455,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Apple,"Apple MacBook Air MC6T4TU/A 16 GB 256 GB SSD 13.6"" macOS Dizüstü Bilgisayar",44210.0,11,https://www.n11.com/urun/apple-macbook-air-mc6t4tua-16-gb-256-gb-ssd-136-macos-dizustu-bilgisayar-74956976,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Asus,"Asus Vivobook 15 X1504VA-NJ2770 i7-1355U 16 GB 512 GB SSD 15.6"" Dos Dizüstü Bilgisayar",26050.0,0,https://www.n11.com/urun/asus-vivobook-15-x1504va-nj2770-i7-1355u-16-gb-512-gb-ssd-156-dos-dizustu-bilgisayar-109253812,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Asus,"Asus Rog Strıx G16 G614PR-RV050 Amd R9-8940HX 32GB 1tb 12GB RTX5070TI 16"" Fhd+ 165HZ WUXGA Freedos Dizüstü Bilgisayar",93777.98,1,https://www.n11.com/urun/asus-rog-strix-g16-g614pr-rv050-amd-r9-8940hx-32gb-1tb-12gb-rtx5070ti-16-fhd-165hz-wuxga-freedos-dizustu-bilgisayar-78073387,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Casper,"Casper Nirvana X600.7430-DF00X-G-F R5-7430U 32 GB 1 TB NVMe SSD 15.6"" Dos Dizüstü Bilgisayar",26899.0,3,https://www.n11.com/urun/casper-nirvana-x6007430-df00x-g-f-r5-7430u-32-gb-1-tb-nvme-ssd-156-dos-dizustu-bilgisayar-66007246,https://via.placeholder.com/500?text=Resim+Yok
Laptop,MSI,"MSI THIN A15 B7VE-076XTR Ryzen 5 7535HS 16 GB 512 GB SSD RTX4050 15.6"" Dos FHD Gaming Dizüstü Bilgisayar",35399.0,8,https://www.n11.com/urun/msi-thin-a15-b7ve-076xtr-ryzen-5-7535hs-16-gb-512-gb-ssd-rtx4050-156-dos-fhd-gaming-dizustu-bilgisayar-50006596,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Asus,"Asus Vivobook S16 S3607VA-RP012 i7-13620H 16 GB 1 TB SSD 16"" Wuxga Free Dos Dizüstü Bilgisayar",36392.64,0,https://www.n11.com/urun/asus-vivobook-s16-s3607va-rp012-i7-13620h-16-gb-1-tb-ssd-16-wuxga-free-dos-dizustu-bilgisayar-100652532,https://via.placeholder.com/500?text=Resim+Yok
Laptop,HP,"HP Victus Gaming 15-FB3702NT B9KM3EA R7-8645HS 16 GB 1 TB SSD DDR5-5600 RTX4050 6 GB 15.6"" Free Dos Dizüstü Bilgisayar",37224.0,0,https://www.n11.com/urun/hp-victus-gaming-15-fb3702nt-b9km3ea-r7-8645hs-16-gb-1-tb-ssdddr5-5600rtx4050-6-gb-156-free-dos-dizustu-bilgisayar-90187785,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Lenovo,"Lenovo V15 G4 IRU 83A100HXTR i7-1355U 16 GB 1 TB SSD 15.6"" Dos Dizüstü Bilgisayar",29199.0,4,https://www.n11.com/urun/lenovo-v15-g4-iru-83a100hxtr-i7-1355u-16-gb-1-tb-ssd-156-dos-dizustu-bilgisayar-55612671,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Xiaomi,"Xiaomi RedmiBook 15E i7-11390H 16 GB 512 GB SSD 15.6"" W11H Q İng Dizüstü Bilgisayar",21099.0,20,https://www.n11.com/urun/xiaomi-redmibook-15e-i7-11390h-16-gb-512-gb-ssd-156-w11h-q-ing-dizustu-bilgisayar-46414817,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Game,"Game Garaj Slayer5 9XL-5070TI C3 Ultra 9 275HX 64 GB 2 TB SSD RTX5070Ti 17"" Free Dos Dizüstü Bilgisayar + Çanta",112124.03,1,https://www.n11.com/urun/game-garaj-slayer5-9xl-5070ti-c3-ultra-9-275hx-64-gb-2-tb-ssd-rtx5070ti-17-free-dos-dizustu-bilgisayar-canta-83594559,https://via.placeholder.com/500?text=Resim+Yok
Laptop,MSI,"MSI Cyborg 15 A13VE-1863XTR i5-13420H 16 GB 512 GB SSD RTX4050 15.6"" Dos Dizüstü Bilgisayar",35331.89,0,https://www.n11.com/urun/msi-cyborg-15-a13ve-1863xtr-i5-13420h-16-gb-512-gb-ssd-rtx4050-156-dos-dizustu-bilgisayar-85579736,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Lenovo,"Lenovo LOQ 15IAX9 83GS00PHTR i5-12450HX 12 GB 1 TB SSD 8 GB RTX4060 15.6"" Dos Dizüstü Bilgisayar",42044.07,2,https://www.n11.com/urun/lenovo-loq-15iax9-83gs00phtr-i5-12450hx-12-gb-1-tb-ssd-8-gb-rtx4060-156-dos-dizustu-bilgisayar-68184498,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Lenovo,"Lenovo V15 G3 IAP 82TT00C6TX i7-1255U 8 GB 512 GB SSD 15.6"" Free Dos Dizüstü Bilgisayar",26448.07,12,https://www.n11.com/urun/lenovo-v15-g3-iap-82tt00c6tx-i7-1255u-8-gb-512-gb-ssd-156-free-dos-dizustu-bilgisayar-45061648,https://via.placeholder.com/500?text=Resim+Yok
